order_id,customer_id,product_category,quantity,price_inr,transaction_date,customer_email,customer_phone
ORD0000000,CUST00103,Electronics,2,3701.2,2024-01-01 00:00:00,bakshianvi@example.org,+91-9398211089
ORD0000001,CUST00436,Electronics,2,1945.43,2024-01-01 02:00:00,liamchaudry@example.net,+91-9789312702
ORD0000002,CUST00271,Electronics,3,766.75,2024-01-01 04:00:00,samiazad@example.org,+91-9930572212
ORD0000003,CUST00107,Electronics,3,1222.06,2024-01-01 06:00:00,kamdarviraj@example.net,+91-9926909684
ORD0000004,CUST00072,Electronics,1,492.56,2024-01-01 08:00:00,issaconi@example.org,+91-9409835546
ORD0000005,CUST00701,Electronics,1,1032.41,2024-01-01 10:00:00,zmall@example.org,+91-9365646554
ORD0000006,CUST00021,Apparel,1,966.17,2024-01-01 12:00:00,pahaloak@example.com,+91-9645702505
ORD0000007,CUST00615,Grocery,2,2365.56,2024-01-01 14:00:00,tanveernayar@example.org,+91-9162157440
ORD0000008,CUST00122,Beauty,1,2361.8,2024-01-01 16:00:00,raigunbir@example.com,+91-9546134533
ORD0000009,CUST00467,Home,2,1471.41,2024-01-01 18:00:00,aishani07@example.net,+91-9658218762
ORD0000010,CUST00215,Apparel,1,624.94,2024-01-01 20:00:00,radhakrishnanfarhan@example.net,+91-9996948179
ORD0000011,CUST00331,Electronics,2,1885.26,2024-01-01 22:00:00,janaki93@example.net,+91-9775833790
ORD0000012,CUST00459,Apparel,1,818.96,2024-01-02 00:00:00,bathvedant@example.com,+91-9343837108
ORD0000013,CUST00088,Grocery,2,304.32,2024-01-02 02:00:00,kaulharrison@example.com,+91-9954209236
ORD0000014,CUST00373,Electronics,four,599.87,2024-01-02 04:00:00,sudiksha52@example.com,+91-9762148881
ORD0000015,CUST00100,Electronics,1,977.04,2024-01-02 06:00:00,shaurya41@example.net,+91-9956207380
ORD0000016,CUST00664,Books,1,2231.02,2024-01-02 08:00:00,yashgade@example.com,+91-9337288722
ORD0000017,CUST00131,Electronics,2,747.3,2024-01-02 10:00:00,omadan@example.net,+91-9995840515
ORD0000018,CUST00662,Apparel,1,267.95,2024-01-02 12:00:00,ektabhalla@example.org,+91-9205020748
ORD0000019,CUST00309,Apparel,three,,2024-01-02 14:00:00,muttinandini@example.com,+91-9630135505
ORD0000020,CUST00770,Electronics,4,1005.72,2024-01-02 16:00:00,kakardivya@example.org,+91-9653763955
ORD0000021,CUST00344,Electronics,five,1081.21,2024-01-02 18:00:00,prandhawa@example.com,+91-9720176796
